solver_pair,mean_l1_divergence,max_l1_divergence,min_l1_divergence
GD vs CG,0.001283305728420979,0.002381648486946094,0.0003440883063420344
GD vs PCG_Jacobi,0.0006160874615380331,0.0010494179588178575,0.000328046418932304
GD vs PCG_SSOR,0.0006161908844047892,0.0010493921163566267,0.00032800322176679275
GD vs PCG_IChol,0.0006161908844533969,0.0010493921163587145,0.0003280032211723967
CG vs PCG_Jacobi,0.0012334067793205365,0.002784465887146871,0.0004688757325483836
CG vs PCG_SSOR,0.0012333179299492132,0.0027844050437472703,0.0004688632223114539
CG vs PCG_IChol,0.0012333179299337945,0.0027844050437497605,0.0004688632217170856
PCG_Jacobi vs PCG_SSOR,3.142501025103093e-07,1.119159807883019e-06,1.6069631771087334e-08
PCG_Jacobi vs PCG_IChol,3.1425015731325966e-07,1.1191598073730102e-06,1.6069632520487875e-08
PCG_SSOR vs PCG_IChol,1.902715904394022e-13,1.0108042874934497e-12,1.2216790079566664e-15
