rebal_idx,rebal_date,estimation_start,estimation_end,n_observations,min_eigenvalue,is_positive_definite,condition_number,mu_file,cov_file
0,2023-01-03,2020-12-31,2022-12-30,504,4.117939732756927e-05,True,277.0938955457468,mu_20230103.npy,cov_20230103.npy
1,2023-02-02,2021-02-02,2023-02-01,504,4.078053652327629e-05,True,281.22856820634104,mu_20230202.npy,cov_20230202.npy
2,2023-03-06,2021-03-04,2023-03-03,504,4.3759866007751417e-05,True,255.26422801549478,mu_20230306.npy,cov_20230306.npy
3,2023-04-04,2021-04-05,2023-04-03,504,4.334560928039186e-05,True,244.44386455614892,mu_20230404.npy,cov_20230404.npy
4,2023-05-04,2021-05-04,2023-05-03,504,4.460073720689473e-05,True,235.50514512248282,mu_20230504.npy,cov_20230504.npy
5,2023-06-05,2021-06-03,2023-06-02,504,4.724199068007024e-05,True,225.75834993157278,mu_20230605.npy,cov_20230605.npy
6,2023-07-06,2021-07-02,2023-07-05,504,4.747103823266089e-05,True,225.53625773609681,mu_20230706.npy,cov_20230706.npy
7,2023-08-04,2021-08-03,2023-08-03,504,4.823095882348874e-05,True,223.11644616683182,mu_20230804.npy,cov_20230804.npy
8,2023-09-05,2021-09-01,2023-09-01,504,4.8049566617164857e-05,True,226.3528250883106,mu_20230905.npy,cov_20230905.npy
9,2023-10-04,2021-10-01,2023-10-03,504,4.742118914555048e-05,True,228.70841952917,mu_20231004.npy,cov_20231004.npy
10,2023-11-02,2021-11-01,2023-11-01,504,4.6709579817969424e-05,True,233.71174847535744,mu_20231102.npy,cov_20231102.npy
11,2023-12-04,2021-12-01,2023-12-01,504,4.431655414095431e-05,True,244.1684020671227,mu_20231204.npy,cov_20231204.npy
12,2024-01-04,2021-12-31,2024-01-03,504,4.380289238467149e-05,True,244.03483836287944,mu_20240104.npy,cov_20240104.npy
13,2024-02-05,2022-02-01,2024-02-02,504,4.308750883354856e-05,True,236.79054811338423,mu_20240205.npy,cov_20240205.npy
14,2024-03-06,2022-03-03,2024-03-05,504,4.4160043739073396e-05,True,221.85873490903967,mu_20240306.npy,cov_20240306.npy
15,2024-04-05,2022-04-01,2024-04-04,504,4.298446155131481e-05,True,217.88534004040486,mu_20240405.npy,cov_20240405.npy
16,2024-05-06,2022-05-03,2024-05-03,504,4.2855320590965195e-05,True,211.76973285378736,mu_20240506.npy,cov_20240506.npy
17,2024-06-05,2022-06-02,2024-06-04,504,4.35368144521316e-05,True,192.6674764352297,mu_20240605.npy,cov_20240605.npy
18,2024-07-08,2022-07-05,2024-07-05,504,4.2936072418151374e-05,True,182.1670166525521,mu_20240708.npy,cov_20240708.npy
19,2024-08-06,2022-08-03,2024-08-05,504,4.3288973190939324e-05,True,197.4005510175328,mu_20240806.npy,cov_20240806.npy
20,2024-09-05,2022-09-01,2024-09-04,504,4.252643859884502e-05,True,203.52718513037323,mu_20240905.npy,cov_20240905.npy
21,2024-10-04,2022-10-03,2024-10-03,504,4.256204556852012e-05,True,202.94894875795268,mu_20241004.npy,cov_20241004.npy
22,2024-11-04,2022-11-01,2024-11-01,504,3.931085055821816e-05,True,209.839273944385,mu_20241104.npy,cov_20241104.npy
23,2024-12-04,2022-12-01,2024-12-03,504,3.932288908620125e-05,True,191.17210733855572,mu_20241204.npy,cov_20241204.npy
