,expected_return
ADI,0.0005510999167070484
AMAT,0.0005337378556251753
AMD,0.0014107846478343333
ASML,0.000933642259181723
AVGO,0.0007378228175221848
INTC,-0.0003448913491712134
KLAC,0.0010821929758764357
LRCX,0.0006996988771612058
MCHP,0.0004104840723434727
MRVL,0.0004367084205691951
MU,0.00011536298620222231
NVDA,0.000863225958924911
NXPI,0.0002816676824406193
ON,0.0008352272000682427
QCOM,0.0005266135637307732
TER,0.0005649425367071148
TSM,0.000589891341009215
TXN,0.00046209290895856905
UMC,0.000967120561079039
